Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
01-Jan-18,10531.7,10537.85,10423.1,10435.55,134532090,7546.56
02-Jan-18,10477.55,10495.2,10404.65,10442.2,158092430,8665.47
03-Jan-18,10482.65,10503.6,10429.55,10443.2,172516859,9541.6
04-Jan-18,10469.4,10513,10441.45,10504.8,180257392,9561.95
05-Jan-18,10534.25,10566.1,10520.1,10558.85,186469717,10306.22
08-Jan-18,10591.7,10631.2,10588.55,10623.6,174181231,9907.27
09-Jan-18,10645.1,10659.15,10603.6,10637,211291563,10733.37
10-Jan-18,10652.05,10655.5,10592.7,10632.2,181900014,9720.65
11-Jan-18,10637.05,10664.6,10612.35,10651.2,158630055,9635.01
12-Jan-18,10682.55,10690.4,10597.1,10681.25,180592153,11005.12
15-Jan-18,10718.5,10782.65,10713.8,10741.55,181262074,11333.11
16-Jan-18,10761.5,10762.35,10687.85,10700.45,217468081,12709.44
17-Jan-18,10702.45,10803,10666.75,10788.55,260488465,14334.26
18-Jan-18,10873.4,10887.5,10782.4,10817,321609375,17930.3
19-Jan-18,10829.2,10906.85,10793.9,10894.7,214011963,11792.26
22-Jan-18,10883.2,10975.1,10881.4,10966.2,238815813,14469.06
23-Jan-18,10997.4,11092.9,10994.55,11083.7,293445774,16423.91
24-Jan-18,11069.35,11110.1,11046.15,11086,292197072,16915.14
25-Jan-18,11095.6,11095.6,11009.2,11069.65,340469462,19939.54
29-Jan-18,11079.35,11171.55,11075.95,11130.4,249220726,16118.36
30-Jan-18,11120.85,11121.1,11033.9,11049.65,234969503,13232.19
31-Jan-18,11018.8,11058.5,10979.3,11027.7,253462573,14459.69
